"id","provider_name","street_address","city","county","state","zipcode","phone_number","service_type"
"837","Assistive Solutions","93R Compark Rd,","Centerville,","","OH","45459","(419) 673-7450","Adaptive Equipment/Assitive Technology Services"
"838","Custom Van Conversions & Mobility","3720 Oakton St, Skokie","Skokie","Cook","Il","60076","(847) 933-9517","Adaptive Equipment/Assitive Technology Services"
"839","Sherman Dodge","7601 SKOKIE BLVD","Skokie","Cook","IL","60077","(847) 982-9500","Adaptive Equipment/Assitive Technology Services"
"840","Illinois Home Solutions of America, Inc.","3410 N Main St","EAST PEORIA","Tazewell","IL","61611","(309) 444-3444","Adaptive Equipment/Assitive Technology Services"
"841","101 Mobility - St. Louis","4025 S Old Highway 94 Ste T","Saint Charles","","MO","63304","(636) 447-1414","Adaptive Equipment/Assitive Technology Services"
"842","Ramp Roll Inc","5032 Bent Tree Ct","Rockford","Winnebago","IL","61114","(815) 282-5277","Adaptive Equipment/Assitive Technology Services"
"843","Ada Total Access, Inc","125 THUNDERBIRD LN STE 5","EAST PEORIA","Tazewell","IL","61611","(309) 698-9290","Adaptive Equipment/Assitive Technology Services"
"844","ProMax Construction","141 W Main St","Decatur","Macon","IL","62523","(217) 424-8900","Adaptive Equipment/Assitive Technology Services"
"845","CNC Medical Equipment Inc","1814 Glenview Rd","Glenview","Cook","IL","60025","(847) 724-8380","Adaptive Equipment/Assitive Technology Services"
"846","Healthcom, Inc","1600 W Jackson St","Sullivan","Moultrie","IL","61951","(800) 525-6237","Adaptive Equipment/Assitive Technology Services"
"847","Purple Ribbon Mobility","410 E Taylor St Ste K1","Griffin","","GA","30223","(678) 572-4410","Adaptive Equipment/Assitive Technology Services"
"848","Southern Bus and Mobility","12950 KOCH LN, P.O. Box 37","Breese","Clinton","IL","62230","(618) 526-4131","Adaptive Equipment/Assitive Technology Services"
"849","Express Kitchen and Bath","9500 W Manhattan Monee Rd","Frankfort","Will","IL","60423","(815) 469-4500","Adaptive Equipment/Assitive Technology Services"
"850","CCM Champaign County Mobility","1508 W Anthony Dr","Champaign","","IL","61821","(217) 359-5800","Adaptive Equipment/Assitive Technology Services"
"851","Kalander Enterprises","921 N Martin Dr,","PALATINE,","Cook","IL","60067","(847) 991-6330","Adaptive Equipment/Assitive Technology Services"
"852","Lifeline Systems Incorporated","111 LAWRENCE ST","Framingham","","MA","1702","(800) 451-0525","Adaptive Equipment/Assitive Technology Services"
"853","Envision Unlimited","8 S Michigan Ave Ste 1700","Chicago","Cook","IL","60603","(312) 565-4875","Adaptive Equipment/Assitive Technology Services"
"854","Flaghouse","601 Flaghouse Dr","Hasbrouck Heights","","NJ","7604","(800) 793-7900","Adaptive Equipment/Assitive Technology Services"
"855","Frank Zanotti Tile & Stone Co","6 Walker Ave","Highwood","Lake","IL","60040","(847) 433-3636","Adaptive Equipment/Assitive Technology Services"
"856","Lab Construction Inc","17334 W Westwind Dr","Gurnee","Lake","IL","60031","(847) 269-1974","Adaptive Equipment/Assitive Technology Services"
"857","Independent Living Solutions","6327 N PULASKI RD","Chicago","COOK","IL","60646","(773) 478-8450","Adaptive Equipment/Assitive Technology Services"
"858","Extended Home Living Services, Inc.","210 W Campus Dr Ste B","ARLINGTON HEIGHTS","Cook","IL","60004","(847) 215-9490","Adaptive Equipment/Assitive Technology Services"
"859","Creating Opportunities","1837 W CENTRAL RD","ARLINGTON HEIGHTS","Cook","IL","60005","(847) 385-5004","Adaptive Equipment/Assitive Technology Services"
"860","Tech Electronics of Illinois","417 Olympia Dr","Bloomington","McLean","IL","61704","(309) 874-2700","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"861","Craftsmen/Access Unlimited","570 Hance Rd","Binghamton","","NY","13903","(607) 669-4822","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"862","Beck's Home Health Care","1411 Locust St","Eldorado","Saline","IL","62930","(618) 273-9019","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"863","Pietros Remodeling Services Inc","413 Clifton Ln","Bollingbrook","Will","IL","60440","(312) 451-3369","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"864","Simplisafe, Inc","294 Washington St Fl 9","Boston","","MA","2108","(617) 208-4020","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"865","Central States Automatic Spring","13740 California Ave","Blue Island","Cook","IL","60406","(708) 489-9400","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"866","Iossi Construction, Inc.","1040 W 4th St","Davenport","","IA","52802","(563) 344-0053","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"867","Fox Valley Fire & Safety","2730 Pinnacle Dr","Elgin","Kane","IL","60124","(847) 695-5990","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"868","TFH (USA) Ltd","4537 Gibsonia Rd","Gibsonia","","PA","15044","(724) 444-6400","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"869","Personal Mobility","2924 N Dirksen Pkwy","Springfield","Sangamon","IL","62702","(217) 241-1548","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"870","DreamMaker Bath & Kitchen","3730 Wabash Ave,","Springfield","Sangamon","IL","62711","(217) 529-9300","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"871","Flooring of Springfield","2205 Wabash Ave Ste 102","Springfield","Sangamon","IL","62704","(217) 725-1138","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"872","The Bike Rack","2930 Campton Hills Dr","St Charles","Kane","IL","60175","(630) 584-6588","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"873","Fox Valley Home Services","204 S 13th Ave","St Charles","Kane","IL","60174","(630) 940-8781","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"874","Options HME, Inc.","25 Shannon Ct","Highland","Madison","IL","62249","(618) 310-0086","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"875","Jacob Family Enterprises","9723 W State Route 161,","Fairview Heights","St. Clair","IL","62208","(618) 397-4391","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"876","First Fence Inc","10 N Elm St","Hillside","Cook","IL","60162","(708) 547-7555","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"877","Bettenhausen Motor Sales","17514 Oak Park Ave","Tinley Park","Cook","IL","60477","(708) 532-9600","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"878","All Ability Cycles, LLC","208 E Lincolnway","Jefferson","","IA","50129","(515) 386-8900","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"879","Midwest Transit Equipment","146 W Issert Dr","Kankakee","Kankakee","IL","60901","(815) 933-2412","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"880","Popejoy Plumbing Heating and Electric, Inc.","203 S 10th St","FAIRBURY","Livingston","IL","61739","(815) 692-4471","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"881","Home Envy","4445 Commerce St,.","Evansville","","IN","47710","(812) 568-0700","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"882","Trinity Windows","316 E Broadway St","Littleton","McDonough","IL","61452","(319) 201-0283","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"883","101 Mobility - Elgin","2531 Technology Dr Ste 305","Elgin","Kane","IL","60124","(847) 551-5911","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"884","Stan Smith Construction","10252 N 330th St","Casey","Clark","IL","62420","(217) 232-5731","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"885","KJ Quality Remodelers INC","318 Summit Ct","Schaumburg","Cook","IL","60193","(630) 890-4291","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"886","New Leaf Remodeling","6551 E Riverside Blvd","Rockford","Winnebago","IL","61114","(815) 262-6810","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"887","Liebhart Construction Inc.","1301 Canal St","Ottawa","LaSalle","IL","61350","(815) 433-5467","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"888","Green Evans Management","61 S Orchard Dr.","Park Forest,","Cook","IL","60466","(708) 971-5095","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"889","Rollx Vans","6591 Highway 13 W","Savage","","MN","55378","(800) 956-6668","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"890","Mungenast Alton Toyota","850 Homer Adams Pkwy","Alton","Madison","IL","62002","(618) 208-2400","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"891","Cummings Mobility Conversions & Supply, Inc","6540 Jansen Ave NE","Albertville","","MN","55301","(763) 497-0103","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"892","Rehabmart LLC","3651 Mars Hill Rd","Watkinsville","","GA","30677","(706) 213-1144 x1011","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"893","Absolute Fire Protection","5279 28th Ave","Rockford","Winnebago","IL","61109","(815) 397-6500","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"894","Greg's Tile Service, Inc.","338 N Oak St","Palatine","Cook","IL","60067","(847) 207-6806","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"895","Security Alarm Corp","1511 E MAIN ST","Salem","Marion","IL","62881","(618) 548-5768","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"896","FE Moran Security Solutions LLC","201 E. University Ave","Champaign","Champaign","IL","61820","(217) 403-6444","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"897","Rustic Wood Fencing","9116 N Milwaukee Ave","Niles","Cook","IL","60714","(847) 827-7456","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"898","Amazing Sensory Designs, LLC","6701 S Crandon Ave Apt 10A","Chicago","Cook","IL","60649","(773) 501-6796","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"899","Illini Fire Service, LLC","1600 N Oak St","Champaign","Champaign","IL","61820","(217) 531-1661","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"900","Moore Management Inc","3445 W Madison St","Chicago","Cook","IL","60624","(312) 296-4423","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"901","101 Mobility - Orland Park","11535 183rd Pl Ste 102","Orland Park","Will","IL","60467","(708) 968-1250","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"902","SimplyHome","48 Fisk Dr","Arden","","NC","28704","(877) 684-3581","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"903","Redfern Group Corp.","8223 W Irving Park Rd,","Chicago","Cook","IL","60634","(847) 962-1565","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"904","Sentry Security LLC","339 Egidi Dr","Wheeling","Cook","IL","60090","(847) 353-7200","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"905","HCI Marketing","4270 27th St","Moline","Rock Island","IL","61265","(309) 644-1727","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"906","Freedom Motors USA, Inc.","740 Watkins Rd","Battle Creek","","MI","49015","(269) 660-1002","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"907","Fire Equipment Sales and Service, Inc.","1902 Fox Dr Ste B","Champaign","Champaign","IL","61820","(217) 234-2777","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"908","Capitol Construction Solutions, Inc.","1050 State Route 126","Plainfield","Will","IL","60544","(630) 717-8349","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"909","Tycour","730 Madison Ave","Madison","Madison","IL","62060","(618) 910-8655","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"910","New Ability Inc","1005 Main St","Melrose Park","Cook","IL","60160","(708) 345-3939","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"911","Accessibility 101","7900 International Dr Ste 300","Minneapolis","","MN","55425","(612) 670-2928","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"912","Slip-Proof Safety Inc","320 Forest Ave","Willow Springs","Cook","IL","60480","(708) 839-4775","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"913","Ramp Now","2280 Cornell Ave","Montgomery","Kendall","IL","60538","(630) 892-7267","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"914","L & F Electric, Inc.","2125 Veterans Rd","Morton","Tazewell","IL","61550","(309) 263-1471","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"915","My Home For Life","1388 River Brook Ct","Charlottesville","","VA","29901","(434) 977-6435","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"916","Petre Construction","1016 Motherhead Rd","Saint Charles","","MO","63304","(636) 939-5919","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"917","Hutchison Medical","16561 N County Farm Ln","Mount Vernon,","Jefferson","IL","62864","(618) 237-6000","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"918","Health Services Consultants, Inc.","PO Box 3037","Champaign","Champaign","IL","61826","(217) 398-0105 x3255","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"919","MobilityWorks","4199 Kinross Lakes Pkwy Ste 300","Richfield","","OH","44286","(234) 312-2000","Adaptive Equipment/Assitive Technology Services, Home and Vehicle Modification Services"
"920","HEART TO HEART SERVICES INC","621 OLD FORGE RD","UNIVERSITY PARK","Will","IL","60466","708-534 6454","Adult Day Health Services"
"921","ACTIVE DAY IN, INC","6 Neshaminy Interplex, STE 401","Trevose","","PA","19053","215-642-6600","Adult Day Health Services"
"922","COMMUNITY ADULT DAY CENTER","4501 MAIN ST","DOWNERS GROVE","DuPage","IL","60515","630-968 1060","Adult Day Health Services"
"923","HUMAN RESOURCES OF EDGAR AND CLARK COUNTIES","PO Box 1118  753 E Court Street","Paris","Edgar","IL","61944","217-465-4118","Adult Day Health Services"
"924","PRESENCE LIFE CONNECTIONS","659 E Jefferson Street","Freeport","Stephenson","IL","61032","815-232-6181","Adult Day Health Services"
"925","ADVOCATE HEALTH AND HOSPITALS","2025 Windsor Drive","OAKBROOK","Cook","IL","60523","630-990 5192","Adult Day Health Services"
"926","EUROPEAN SERVICES AT HOME, INC","520 N Hicks Road","Palatine","Cook","IL","60067","847-202 1249","Adult Day Health Services"
"927","CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO","721 NORTH LASALLE","Chicago","Cook","IL","60654","312-655-7573","Adult Day Health Services"
"928","BEHAVIOR THERAPY SPECIALIST OF IL & MO","126 W SARAH AVE","ST. LOUIS","","MO","63122","(314) 252-2069","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"929","BROADSTEP ACADEMY-IL INC","701 W. Lamm Rd.","Freeport","Stephenson","IL","61032","(815) 233-6162","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"930","FUNDERBURG, DYNATA","Not Available","FLOSSMOOR","Cook","IL","60422","(708) 647-6426","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"931","NORTHERN IL BEHAVIORAL SERVICES","500 WEST SOUTH ST","FREEPORT","Stephenson","IL","61032","(815) 266-4239","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"932","KCCDD, INC.","2015 WINDISH DR","GALESBURG","Knox","IL","61401","(309) 344-2600","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"933","C L O PSYCHOLOGICAL SRV LTD","925 KILLARNEY DR","DYER","","IN","46311","(773) 618-2231","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"934","KREIDER SERVICES INC.","500 ANCHOR RD P O BOX 366","DIXON","Lee","IL","61021","(815) 288-6691","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"935","A STEP FORWARD INC.","5310 E WILLIAMS ST","DECATUR","Macon","IL","62521","(217) 422-6361","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"936","Smith, Verma","Not Available","Country Club Hills","Cook","IL","60478","(708) 510-7122","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"937","Herrera, Alexis","Not Available","Chicago","Cook","IL","60618","(847)772-0436","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"938","STUBNAR, HOLLY","Not Available","Chicago","Cook","IL","60614","(618) 201-1146","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"939","Chapman, Terrance","Not Available","Chicago","Cook","IL","60613","(832) 755-5521","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"940","SUPPORT SYSTEMS AND SERVICES INC","9510 St Clair Ave","FAIRVIEW HEIGHTS","St Clair","IL","62208","(618) 277-4100","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"941","CILA CORPORATION","832-C W NORTH AVE P.O. BOX 160","FLORA","Clay","IL","62839","(618) 662-8494","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"942","STREATOR UNLIMITED INC","305 N Sterling St PO Box 706","STREATOR","Livingston","IL","61364","(815) 673-5574","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"943","BEHAVIOR INTERVENTION & ORGANIZATIONAL SYSTEMS LLC dba BIOS ABA Consultants","828 HANNAH AVE","FOREST PARK","COOK","IL","60130","(708) 257-6074","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"944","BEHAVIORAL LEARNING LLC","1112 Elgin Ave","FOREST PARK","Cook","IL","60130","(312) 720-9473","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"945","PATHWAYS THERAPEUTIC SERVICES INC","15255 S 94TH AVE STE 500 PO BOX 1006","FRANKFORT","Will","IL","60423","(312) 342-0631","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"946","FOREST CITY BEHAVIOR AND DEVELOPMENT","9510 St Clair Ave","FAIRVIEW HEIGHTS","St Clair","IL","62208","(618) 277-4100","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"947","NORTHPOINTE RESOURCES INC","3441 SHERIDAN RD","ZION","LAKE","IL","60099","(847) 872-1700","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"948","HAWK PSYCHOLOGICAL SERVICES","7660 Gross Point Road","SKOKIE","Cook","IL","60077","(847) 967-1800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"949","FRAKES, JENNIFER L","Not Available","SPRINGFIELD","Sangamon","IL","62702","(217) 588-8638","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"950","APOSTOLIC CHRISTIAN LIFEPOINTS, INC","2125 Veterans Road","Morton","Tazewell","IL","61550","(309) 266-9781","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"951","INSTRUCTIONAL ABA CONSULTANTS inc","1975 McDowell Road, #101","NAPERVILLE","DuPage","IL","60563","(331) 229-8839","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"952","PREMIERCARE CONSULTING LLC","1811 High Grove Lane, Suite 139, 1st Floor","NAPERVILLE","DuPage","IL","60540","(630) 579-4325","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"953","ROYAL LIVING CENTER, INC","200 SOUTH 9TH","NEW BADEN","Clinton","IL","62265","(618) 588-7295","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"954","TRINITY SERVICES INC","301 Veterans Parkway","NEW LENOX","Will","IL","60451","(815) 485-6197","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"955","MCALLISTER ANALYTICS INC","7836 N Nora Ave","NILES","Cook","IL","60714","(708) 915-0920","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"956","THE ARC OF THE QUAD CITIES AREA","4016 9th St","Rock Island","Rock Island","IL","61201","(309) 786-6474","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"957","MARCFIRST","1606 HUNT DRIVE","NORMAL","McLean","IL","61761","(309) 451-8888","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"958","COUNSELING SPECIAL NEEDS ADULTS","610 Academy Dr","NORTHBROOK","Cook","IL","60062","(847) 205-1234","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"959","KESHET","610 Academy Dr","NORTHBROOK","Cook","IL","60062","(847) 205-1234","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"960","FAMILIES BUILDING DREAMS","2970 MARIA AVE #211","NORTHBROOK","Cook","IL","60062","(847) 272-2222","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"961","PRECISION ABA LLC","2970 MARIA AVE #211","NORTHBROOK","Cook","IL","60062","(847) 272-2222","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"962","GLENKIRK","3504 COMMERCIAL AVE.","NORTHBROOK","Cook","IL","60062","(847) 272-5111","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"963","AURORA HOME CARE INC.","2970 Maria Ave Suite 210","NORTHBROOK","Cook","IL","60062","(847) 559-1222","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"964","PARK LAWN SCHOOL and ACTIVITY","10833 S LAPORTE AVE","OAK LAWN","Cook","IL","60453","(708) 425-3344","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"965","KRYSZAK, KELSEY","Not Available","OAK LAWN","Cook","IL","60453","(708) 663-6964","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"966","COPING TOGETHER SERVICES INC","15127 S 73RD AVE STE C","ORLAND PARK","Cook","IL","60462","(708) 586-9303","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"967","LifeSpeed Behavioral Support Services, LLC","721 South Blvd, Suite 210","Oak Park","Cook","IL","60302","(312) 404-7225","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"968","CTF ILLLINOIS","18230 Orland Parkway","Orland Park","Cook","IL","60467","(708) 429-1260","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"969","LITTLE CITY FOUNDATION","1760 W ALGONQUIN RD","PALATINE","Cook","IL","60067","(847) 358-5510","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"970","BETHSHAN ASSOCIATION","12927 S MONITOR AVE","PALOS HEIGHTS","Cook","IL","60463","(708) 371-0800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"971","INDIVIDUAL ADVOCACY GROUP INC","1289 WINDHAM PARKWAY","ROMEOVILLE","Will","IL","60446","(630) 759-0201","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"972","FERN LEAF ABA, LLC","5739 W MARTINDALE LN,","PEORIA","Peoria","IL","61615","(309) 253-1683","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"973","GATEWAY SERVICES, INC.","406 S GOSSE BLVD","PRINCETON","Bureau","IL","61356","(815) 875-4548","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"974","EPIC","1913 W Townline Rd","Peoria","Peoria","IL","61615","(309) 691-3800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"975","BETHESDA ABA","13550 S Route 30 Ste 200","Plainfield","Will","IL","5087","(815) 230-2111","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"976","TRANSITIONS OF WESTERN ILLINOIS","4409 Maine St","QUINCY","Adams","IL","62305","(217) 223-0413","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"977","INDIVIDUAL BEHAVIOR SUPPORT LLC","1107 W Deyoung St, Suite 70","Marion","Williamson","IL","62959","(314) 428-2328","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"978","SPARC","232 BRUNS LANE","SPRINGFIELD","Sangamon","IL","62702","(217) 793-2100","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"979","TASH INC","PO Box 338 - 1303 N 7th Street","MURPHYSBORO","Jackson","IL","62966","(618) 867-3881","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"980","GAODE, ERIC","Not Available","MORTON GROVE","Cook","IL","60076","(847) 890-1157","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"981","PROGRESSIVE BEHAVIOR SOLUTIONS","4109 FLORENCE WAY","GLENVIEW","Cook","IL","60025","(773) 780-1448","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"982","ARROWLEAF","PO BOX 759 125 NORTH MARKET","GOLCONDA","Pope","IL","62938","(618) 658-2611","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"983","COLEMAN TRI COUNTY SERVICES","PO BOX 869 - 22 Veterans Drive","HARRISBURG","Saline","IL","62946","(618) 252-0275","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"984","BUZELLI, CORTNEY","Not Available","HARVEY","Cook","IL","60426","(708) 473-6420","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"985","FAMILY ASSOCIATION PLUS","15746 VINE","HARVEY","Cook","IL","60426","(708) 473-6420","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"986","ASPIRE OF ILLINOIS","1815 SOUTH WOLF ROAD","Hillside","Cook","IL","60162","(708) 236-0979","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"987","STATE OF MIND MENTAL HEALTH AND COUNSELING SERVICES","17911 LOS ANGELES AVE","Homewood","Cook","IL","60430","(773) 807-2144","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"988","PATHWAY SERVICES UNLIMITED, INC.","1905 WEST MORTON AVE","JACKSONVILLE","Morgan","IL","62650","(217) 479-2300","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"989","EASTER SEALS JOLIET REGION INC","212 BARNEY DR","JOLIET","Will","IL","60435","(815) 725-2194","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"990","CORNERSTONE SERVICES","777 JOYCE RD","JOLIET","Will","IL","60435","(815) 727-6666","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"991","CENTER FOR DISABILITY SERVICES","311 S Reed Street","JOLIET","Will","IL","60436","(815) 744-3500","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"992","LIVESAY, JIMMIE R","Not Available","JONESBORO","Union","IL","62952","(618) 614-4265","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"993","LINCOLN SQUARE INC","202 S MAIN ST","JONESBORO","Union","IL","62952","(618) 833-2063","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"994","SHORE COMMUNITY SERVICES, INC","8350 LARAMIE AVE","SKOKIE","Cook","IL","60077","(847) 982-2030","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"995","ORCHARD VILLAGE","7660 Gross Point Road","SKOKIE","Cook","IL","60077","(847) 967-1800","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"996","MOMENTUM BEHAVIOR SERVICES LLC","1999 INDIANA AVE","LANSING","Cook","IL","60438","(708) 227-0793","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"997","ACE BEHAVIOR SOLUTIONS INC","13071 DUNMOOR DR","LEMONT","Will","IL","60439","(773) 592-2653","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"998","BEHAVIOR ANALYSIS CORPORATION","109 COUNTRY CLUB EST","SALEM","MARION","IL","62881","(314) 740-5639","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"999","ABA OF ILLINOIS, LLC","220 N LAFAYETTE ST","MACOMB","McDonough","IL","61455","(309) 837-5506","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
"1000","MOSAIC OF ILLINOIS","220 N LAFAYETTE ST","MACOMB","McDonough","IL","61455","(309) 837-5506","Behavior Intervention and Treatment, Psychotherapy and Counseling Services"
